Référence;EAN 13;EAN 14 SPCB;EAN 14 PCB;Désignation;PCB;SPCB;Longueur PCB (cm);Largeur PCB (cm);Hauteur PCB (cm);Poids PCB (kg);Poids UVC;Volume (m3)
10020069;3118220013261;;;SECATEUR A VOLAILLE ACIDULE ROUGE CARTE PEGB;48.0;6.0;56.0;33.0;22.0;10.56;0.22;0.040656
10020074;3118220013315;13118220013312;23118220013319;SECATEUR A VOLAILLE ACIDULE COULEUR ASSORTIE CARTE PEGB;48.0;6.0;56.0;33.0;22.0;11.944;0.24883333333333335;0.040656
10020076;3118220013872;;;CISAILLE A CRUSTACES ACIDULE ROUGE SUR CARTE;48.0;6.0;49.0;32.5;20.5;9.08;0.18916666666666668;0.03264625
10020080;3118220013919;;;CISAILLE A CRUSTACES ACIDULE NOIR SUR CARTE;48.0;6.0;49.0;32.5;20.5;9.08;0.18916666666666668;0.03264625
10020081;3118220013926;;;CISAILLE A CRUSTACES ACIDULE COUL ASSORTIE SUR CARTE;48.0;6.0;49.0;32.5;20.5;9.08;0.18916666666666668;0.03264625
10020088;3118220017566;;;OFFICE ACIDULE COULEUR PANACHE SUR CARTE PEGB +GENCOD;144.0;36.0;34.5;21.5;36.0;7.498;0.052069444444444446;0.026702999999999998
10020090;3118220017580;;;BEURRE ACIDULE COULEUR PANACHE SUR CARTE PEGB +GENCOD;144.0;36.0;34.5;21.5;36.0;6.768;0.047;0.026702999999999998
10020091;3118220017641;;;CISEAUX 22.5CM ACIDULE CARTE COUL ASSORTIE SUR CRAVATE;12.0;12.0;90.0;17.5;13.5;1.92;0.16;0.021262500000000004
10020092;3118220017658;13118220017655;23118220017652;EPLUCHEUR FIL Y ACIDULE BLISTER COUL ASSORTI SUR CRAVATE;12.0;12.0;90.0;16.5;13.5;0.84;0.06999999999999999;0.0200475
10020093;3118220017672;;;COFFRET BI MAT CRUSTACES 13PCES ACIDULE ROUGE;6.0;6.0;35.0;15.5;29.0;4.77;0.7949999999999999;0.0157325
10020094;3118220017689;;;COFFRET BOIS SERVICE A DECOUPER FOURCH+SECAT ACIDULE ROUGE;6.0;6.0;36.5;27.5;19.0;7.2;1.2;0.019071249999999998
10020096;3118220018525;;;STEAK ACIDULE COULEUR PANACHE SUR CARTE PEGB +GENCOD;288.0;36.0;41.5;35.5;36.0;17.281;0.060003472222222215;0.053037
10020103;3118220020597;13118220020594;23118220020591;CISEAU UNIVERSEL ACIDULE SUR CARTE COULEUR ASSORTIE;48.0;6.0;53.0;29.5;20.5;4.896;0.102;0.032051750000000004
10020104;3118220021747;;;HUITRE AVEC GARDE LAGUIOLE INTUITION METAL SACHET+GENCOD;144.0;12.0;47.5;19.0;38.0;8.44;0.05861111111111111;0.034295
10020106;3118220022546;;;6 STEAK LAGUIOLE INTUITION METAL COFFRET BOIS ENCOCHE;6.0;6.0;29.5;17.0;17.5;4.266;0.711;0.00877625
10020108;3118220022560;13118220022567;23118220022564;SET FROMAGE 3 PCES LAG INTUITION METAL COFFRET BOIS ENCOCHE;6.0;6.0;29.5;17.0;17.5;3.48;0.58;0.00877625
10020110;3118220023970;13118220023977;23118220023974;SET FRUIT DE MER 14 PCE INTUITION METAL COFFRET BOIS ENCOCHE;6.0;6.0;36.0;17.5;15.5;4.776;0.7959999999999999;0.009765000000000001
10020111;3118220025387;;;EPLUCHEUR LAGUIOLE INTUITION 6 COULEURS ASSORTIES 523016;144.0;144.0;21.0;19.0;15.5;3.986;0.027680555555555555;0.006184499999999999
10020112;3118220025394;13118220025391;23118220025398;OFFICE ACIDULE COLLECTION COULEUR 2.9;144.0;6.0;29.5;25.5;27.0;5.112;0.035500000000000004;0.02031075
10020113;3118220025400;13118220025407;23118220025404;EPLUCHEUR ACIDULE COLLECTION COULEUR 2.9;144.0;6.0;32.5;20.0;21.0;4.392;0.030500000000000003;0.01365
10020114;3118220025417;13118220025414;23118220025411;TARTINEUR ACIDULE COLLECTION COULEUR 2.9;144.0;6.0;32.0;20.0;20.5;4.608;0.032;0.01312
10020115;3118220025424;13118220025421;23118220025428;STEAK ACIDULE COLLECTION COULEUR 2.9;144.0;6.0;26.5;26.5;20.0;6.98;0.04847222222222222;0.014044999999999998
10020116;3118220025486;13118220025483;23118220025480;FROMAGE ACIDULE COLLECTION COULEUR 2.9;144.0;6.0;27.5;27.0;27.5;7.875;0.0546875;0.02041875
10020118;3118220026643;;;6 CUILLERES LAGUIOLE INTUITION METAL COFFRET BOIS ENCOCHE;6.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
10020123;3118220031005;;;COFFRET SERVICE A DÉCOUPER 3 PIÈCES ACIDULE ROUGE;6.0;6.0;36.0;27.5;19.0;5.7;0.9500000000000001;0.01881
10020124;3118220032910;;;FOURCHETTE A DECOUPER LAGUIOLE ACIDULE ROUGE 185C;120.0;120.0;0.0;0.0;0.0;0.0;0.0;0.0
10020125;3118220032927;;;COUTEAU A DECOUPER LAGUIOLE ACIDULE ROUGE 185C;120.0;120.0;36.5;28.0;14.0;15.52;0.12933333333333333;0.014307999999999998
10020127;3118220051157;13118220051154;23118220051151;COFFRET LAGUIOLE HERITAGE FROMAGE 3P ACIDULE ROUGE;6.0;6.0;27.0;19.0;18.0;1.44;0.24;0.009234000000000001
10020129;3661075394639;3661075402617;3661075394646;LAG HERITAGE CISEAU 22.5CM ACIDULE NOIR POLYFLAME;48.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
10020279; /; /; /;MITRE MIM PM LAGUIOLE HERITAGE PJT_AVEYRON;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10020280; /; /; /;MITRE MIM GM LAGUIOLE HERITAGE PJT_AVEYRON;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10020313; /; /; /;KIT COFFRET 6 STEAK LAGUIOLE ACCESS POLYMERE_POLYFLAME;120.0;120.0;40.0;40.0;35.0;9.6;0.08;0.05600000000000001
10040023;;;;KIT COFFRET 4 COUTEAUX JOSEPH SIGNATURE;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
10040026;;;;KIT COFFRET 4 COUTEAUX JOSEPH SIGNATURE PANACHE;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
10050013;3118220005044;13118220005041;23118220005048;HUITRE HERITAGE SENS LASURE COULEUR PANACHE +GENCOD;144.0;12.0;43.0;25.0;27.0;7.967;0.05532638888888888;0.029025
10050014;3118220005051;13118220005058;23118220005055;FROMAGE HERITAGE SENS LASURE COULEUR PANACHE +GENCOD;144.0;12.0;26.5;26.5;18.5;6.336;0.044000000000000004;0.012991625
10050015;3118220005068;;;BEURRE HERITAGE SENS LASURE COULEUR PANACHE +GENCOD;144.0;12.0;27.0;22.0;19.0;4.608;0.032;0.011286000000000001
10050016;3118220005075;13118220005072;23118220005079;STEAK HERITAGE SENS LASURE COULEUR PANACHE +GENCOD;144.0;12.0;27.0;24.5;18.5;7.776;0.054;0.01223775
10050017;3118220005099;13118220005096;23118220005093;OFFICE HERITAGE SENS LASURE COULEUR PANACHE +GENCOD;144.0;12.0;25.0;22.0;19.0;5.472;0.038000000000000006;0.01045
10050018;3118220005105;13118220005102;23118220005109;EPLUCHEUR HERITAGE SENS LASURE COULEUR PANACHE +GENCOD;144.0;12.0;23.5;20.0;18.5;4.752;0.033;0.008694999999999998
10050020;3118220005617;;;COTE DE BOEUF HERITAGE SENS LASURE CLAIR+GENCOD+SLEEVE;120.0;12.0;28.0;28.0;15.5;8.04;0.06699999999999999;0.012152000000000003
10050022;3118220011632;;;OFFICE HERITAGE SENS LASURE BOIS CLAIR SUR CARTE PEGB;144.0;6.0;48.0;36.5;25.0;8.18;0.056805555555555554;0.0438
10050023;3118220011649;;;STEAK HERITAGE SENS LASURE BOIS CLAIR SUR CARTE PEGB;144.0;6.0;48.0;36.0;25.0;7.776;0.054;0.0432
10050024;3118220011656;;;COTE BOEUF HERITAGE SENS LASURE BOIS CLAIR SUR CARTE PEGB;144.0;6.0;48.0;36.0;25.0;12.384;0.08600000000000001;0.0432
10050027;3118220020221;;;CUISINE 17 LAGUIOLE SENS BOIS CLAIR IMPORT VRAC;96.0;6.0;37.0;21.0;18.0;11.904;0.124;0.013985999999999998
10050028;3118220020238;;;CUISINE 17 LAGUIOLE SENS BOIS CLAIR IMPORT FX CDF;96.0;6.0;43.0;28.5;29.0;15.36;0.16;0.0355395
10050029;3118220025219;;;OFFICE SENS MANCHE OLIVIER SACHET + GENCOD;144.0;12.0;23.0;20.5;31.0;6.6;0.04583333333333333;0.0146165
10050030;3118220025226;13118220025223;23118220025220;COTE A L OS SENS MANCHE OLIVIER SACHET + GENCOD;144.0;12.0;32.0;27.0;20.0;11.057;0.07678472222222223;0.017280000000000004
10050031;3118220025233;;;COUTEAU FROMAGE SENS MANCHE OLIVIER SACHET + GENCOD;144.0;12.0;32.0;27.0;20.0;7.925;0.05503472222222222;0.017280000000000004
10050032;3118220025240;;;COUTEAU STEAK SENS MANCHE OLIVIER SACHET + GENCOD;144.0;12.0;33.0;27.0;19.0;9.19;0.06381944444444444;0.016929
10050033;3118220050389;13118220050386;23118220050383;COFFRET LAGUIOLE HERITAGE FROMAGE 3P SENS BOIS D'OLIVIER;6.0;6.0;27.0;19.0;18.0;1.59;0.265;0.009234000000000001
10050034;3118220051126;13118220051123;23118220051120;COFFRET LAGUIOLE HERITAGE FROMAGE 3P SENS PAKKAWOOD;6.0;6.0;27.0;19.0;18.0;1.37;0.22833333333333336;0.009234000000000001
10070006;3118220015968;;;BLOC NOIR +6 STEAKS FURTIF COULEURS ASSORTIES;6.0;6.0;25.0;19.5;30.5;4.212;0.702;0.01486875
10070012;3118220026339;;;BLOC 5 COUTEAUX FURTIF CLASSIC LAME NOIRE MANCHE NOIR;2.0;2.0;37.0;28.0;19.0;3.84;1.92;0.019684
10070013;3118220030220;;;STEAK 11CM FURTIF CLASSIC MANCHE NOIR LAME NOIR BERLINGOT;6.0;6.0;32.0;1.5;8.0;0.36;0.06;0.00038399999999999996
10070014;3118220035478;;;OFFICE 9CM FURTIF BASIC LAME INOX EN BOITE ACCESS;6.0;6.0;43.5;16.5;11.0;0.6;0.09999999999999999;0.00789525
10070015;3118220035485;;;STEAK 11CM FURTIF BASIC LAME INOX EN BOITE ACCESS;6.0;6.0;43.5;16.5;11.0;0.6;0.09999999999999999;0.00789525
10070016;3118220035492;;;FILET DE SOLE 17CM FURTIF BASIC LAME INOX EN BOITE ACCESS;6.0;6.0;43.0;16.5;11.0;0.648;0.108;0.0078045
10070017;3118220035508;;;CHEF 19CM FURTIF BASIC LAME INOX EN BOITE ACCESS;6.0;6.0;45.0;30.5;15.0;1.434;0.239;0.020587499999999998
10070018;3118220035515;;;SANTUKO 19CM FURTIF BASIC LAME INOX EN BOITE ACCESS;6.0;6.0;45.0;30.5;15.5;1.494;0.249;0.021273749999999998
10070019;3118220035522;;;CUISINE 21 CM FURTIF BASIC LAME INOX EN BOITE ACCESS;6.0;6.0;45.0;30.5;15.0;1.344;0.224;0.020587499999999998
10070020;3118220036475;;;OFFICE 9CM FURTIF METAL CARTONNETTE TB C;90.0;6.0;45.0;31.5;19.0;5.329;0.05921111111111111;0.026932500000000005
10070021;3118220036482;;;STEAK 12 CM FURTIF METAL CARTONNETTE TB C;90.0;6.0;40.0;30.0;20.0;6.12;0.068;0.024
10070022;3118220036499;;;CUISINE 21 FURTIF METAL CARTONNETTE TB C;72.0;6.0;40.0;30.0;20.0;13.32;0.185;0.024
10070023;3118220036505;;;CHEF 19 FURTIF METAL CARTONNETTE TB C;72.0;6.0;40.0;30.0;20.0;14.112;0.196;0.024
10070024;3118220036512;;;SANTUKO 19 CM FURTIF METAL CARTONNETTE TB C;72.0;6.0;40.0;30.0;20.0;14.688;0.20400000000000001;0.024
10070026;3118220037649;;;COFFRET 3 COUTEAUX FURTIF;6.0;6.0;40.0;30.0;20.0;4.62;0.77;0.024
10070027;3118220042162;;;BLOC 5 COUTEAUX FURTIF CLASSIQUE;3.0;3.0;61.0;41.0;32.0;8.27;2.7566666666666664;0.08003199999999999
10070028;3118220044104;;;BLOC DU GAGNANT TOP CHEF LAME INOX;6.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
10070029;3118220044111;;;BLOC DU GAGNANT TOP CHEF LAME ORANGE;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10080001;3118220003514;;;SET DE 4 COUTEAUX FURTIF EVERCUT CLASSIC MANCHE NOIR;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
10080004;3118220023796;;;SET DE 4 COUTEAUX FURTIF EVERCUT CLASSIC MANCHE NOIR;1.0;1.0;46.0;15.0;11.0;1.69;1.69;0.007590000000000001
10080005;3118220034518;;;SET DE 4 COUTEAUX FURTIF EVERCUT CLASSIC MANCHE NOIR;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
10080006;3118220035003;;;CHEF 19 FURTIF EVERCUT V2 CLASSIC MANCHE NOIR BTE RETAIL;6.0;6.0;38.5;19.5;11.5;2.298;0.383;0.008633625
10080007;3118220035010;;;CUISINE 21 FURTIF EVERCUT V2 CLASSIC MANCHE NOIR BTE RETAIL;6.0;6.0;46.0;30.0;15.5;2.43;0.405;0.021390000000000003
10080008;3118220035027;;;EMINCEUR 11 FURTIF EVERCUT V2 CLASSIC MANCHE NOIR BTE RETAIL;6.0;6.0;30.0;29.0;13.5;1.104;0.18400000000000002;0.011744999999999998
10080009;3118220035034;;;OFFICE 9 FURTIF EVERCUT V2 CLASSIC MANCHE NOIR BTE RETAIL;6.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
10080010;3118220035041;;;SANTUKO 19 FURTIF EVERCUT V2 CLASSIC MANCHE NOIR BTE RETAIL;6.0;6.0;38.5;19.5;11.5;2.358;0.393;0.008633625
10080011;3118220036352;;;SET FURTIF EVERCUT 4 PCES OFFICE POLYVALENT CHEF CUISINE;1.0;1.0;46.0;15.0;11.5;1.7;1.7;0.007935000000000001
10080012;3118220038585;;;COFFRET 2 PIECES FURTIF EVERCUT POLY 11CM + CHEF 19CM;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
10080013;3118220041042;;;BLOC MAGNETIQUE 4 COUTEAUX FURTIF EVERCUT;6.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
10080014;3118220043039;;;SET DE 3 COUTEAUX FURTIF EVERCUT CLASSIC MANCHE NOIR;1.0;1.0;40.0;13.0;9.0;0.96;0.96;0.00468
10100002;3118220014954;;;BLOC ARGENT 6 COUTEAUX LAG METAL;6.0;6.0;30.5;21.0;28.5;5.37;0.895;0.01825425
10100003;3118220015753;;;SET 6 PIECES BARBECUE LAGUIOLE MARBRE ROUGE;6.0;6.0;43.5;30.5;40.0;7.02;1.17;0.05306999999999999
10100004;3118220015760;13118220015767;23118220015764;SET 6 PIECES BARBECUE LAGUIOLE MARBRE GRIS;6.0;6.0;43.5;30.5;40.0;7.122;1.187;0.05306999999999999
10100006;3118220020184;;;BLOC PIN BLANC DESIGN 6 CTX LAG TRANSPARENT COLORIS CHAUD;6.0;6.0;20.5;14.5;28.0;2.268;0.37799999999999995;0.008322999999999999
10100011;3118220031104;13118220031101;23118220031108;BLOC 6 COUTEAUX LAGUIOLE PRODUCTION AMAZON AUTOMNE;6.0;6.0;27.5;22.0;15.5;2.442;0.40700000000000003;0.0093775
10100012;3118220031111;13118220031118;23118220031115;BLOC 6 COUTEAUX LAGUIOLE PRODUCTION AMAZON HIVER;6.0;6.0;27.5;22.0;15.5;2.442;0.40700000000000003;0.0093775
10100013;3118220031128;13118220031125;23118220031122;BLOC 6 COUTEAUX LAGUIOLE PRODUCTION AMAZON PRINTEMPS;6.0;6.0;27.5;22.0;15.5;2.454;0.40900000000000003;0.0093775
10100014;3118220031135;13118220031132;23118220031139;BLOC 6 COUTEAUX LAGUIOLE PRODUCTION AMAZON ETE;6.0;6.0;27.5;22.0;15.5;2.442;0.40700000000000003;0.0093775
10100015;3118220031302;;;COFFRET BOIS 6 COUTEAUX LAGUIOLE ABS NOIR MARBRE;6.0;6.0;28.5;17.5;18.5;3.932;0.6553333333333333;0.009226874999999999
10100016;3118220031319;;;COFFRET BOIS 6 COUTEAUX LAGUIOLE ABS GRIS MARBRE;6.0;6.0;28.5;17.5;18.5;3.932;0.6553333333333333;0.009226874999999999
10100017;3118220031326;;;COFFRET BOIS 6 COUTEAUX LAGUIOLE ABS ROUGE MARBRE;6.0;6.0;28.5;17.5;18.5;3.732;0.622;0.009226874999999999
10100018;3118220031333;;;COFFRET BOIS 6 COUTEAUX LAGUIOLE METAL;6.0;6.0;28.5;17.5;18.5;4.146;0.691;0.009226874999999999
10100019;3118220044456;13118220044453;23118220044450;CISEAU UNIVERSEL LAGUIOLE HERITAGE ABS NOIR;48.0;6.0;48.0;31.0;22.0;7.68;0.16;0.032735999999999994
10100020;3118220044463;;;SECATEUR A VOLAILLE LAGUIOLE HERITAGE ABS NOIR;48.0;6.0;56.0;33.0;23.0;0.424;0.008833333333333334;0.042504
10100026;3616958444215;03616956527996;03616955387096;CISAILLE A VOLAILLE ABS NOIR CARREFOUR;48.0;6.0;33.0;54.5;25.0;0.0;0.0;0.04496250000000001
10100027;3661075364175; /;3661075364182;BLOC BOIS NOIR 6 CTX LG INTUITION METAL PVD NOIR  POLYFLAME;6.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
10110001;3118220026278;;;TARTINEUR LAGUIOLE HERITAGE+GENCOD;144.0;12.0;29.0;24.5;18.0;11.808;0.082;0.012789000000000002
10110002;3118220027701;;;TARTINEUR LAGUIOLE HERITAGE SUR CARTE PEGBORDABLE;144.0;12.0;35.0;30.0;27.0;15.947;0.11074305555555555;0.02835
10110003;3118220029590;;;TARTINEUR LAGUIOLE HERITAGE FINITION SABLE SUR CARTE PEG;144.0;12.0;35.0;30.0;27.0;15.731;0.10924305555555555;0.02835
10110004;3118220034532;13118220034539;23118220034536;OFFICE LAGUIOLE HERITAGE MANCHE PAKKAWOOD EN BOITE CARTON;6.0;6.0;33.0;17.5;11.5;1.044;0.17400000000000002;0.0066412500000000005
10110005;3118220034549;;;LOT 2 STEAK LAGUIOLE HERITAGE MANCHE PAKKAWOOD BOITE CARTON;6.0;6.0;35.0;24.0;11.5;2.01;0.33499999999999996;0.009659999999999998
10110006;3118220034556;13118220034553;23118220034550;CUISINE 16 LAGUIOLE HERITAGE MANCHE PAKKAWOOD BOITE CARTON;6.0;6.0;46.0;18.0;11.0;1.884;0.314;0.009108000000000002
10110007;3118220034563;13118220034560;23118220034567;UTILITAIRE LAGUIOLE HERITAGE MANCHE PAKKAWOOD EN BTE CARTON;6.0;6.0;35.5;18.5;11.0;1.128;0.18799999999999997;0.00722425
10110008;3118220034570;13118220034577;23118220034574;CHEF 22 LAGUIOLE HERITAGE MANCHE PAKKAWOOD EN BOITE CARTON;6.0;6.0;46.0;18.0;10.7;2.04;0.34;0.0088596
10110009;3118220034587;13118220034584;23118220034581;SANTOKU LAGUIOLE HERITAGE MANCHE PAKKAWOOD EN BOITE CARTON;6.0;6.0;48.0;18.5;12.0;2.01;0.33499999999999996;0.010655999999999999
10110010;3118220034594;13118220034591;23118220034598;PAIN LAGUIOLE HERITAGE MANCHE PAKKAWOOD EN BOITE CARTON;6.0;6.0;48.0;18.5;12.0;1.998;0.333;0.010655999999999999
10110011;3118220034600;13118220034607;23118220034604;BLOC POUR CTX DE CUISINE LAG HERITAGE ACACIA EN BOITE CARTON;2.0;2.0;30.0;17.5;29.0;4.318;2.159;0.015224999999999999
10110012;3118220036055;13118220036052;23118220036059;JAMBON LAGUIOLE HERITAGE MANCHE PAKKAWOOD EN BOITE CARTON;6.0;6.0;48.0;18.5;12.0;1.581;0.2635;0.010655999999999999
10110013;3118220036062;13118220036069;23118220036066;FUSIL A AIGUISER MANCHE ACACIA;36.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
10110014;3118220044548;;;STEAK LAGUIOLE HERITAGE MANCHE PAKKAWOOD BOITE CARTON;6.0;6.0;35.5;18.5;11.0;1.06;0.17666666666666667;0.00722425
10110015;3118220044555;;;MULTI USAGE DENTE LAG HERITAGE MANCHE PAKKAWOOD BTE CARTON;6.0;6.0;35.5;18.5;11.0;0.0;0.0;0.00722425
10110016;3118220045095;;;OFFICE LAGUIOLE HERITAGE MANCHE PAKKAWOOD EN VRAC;50.0;25.0;28.5;26.0;12.5;5.57;0.1114;0.0092625
10110022;3118220045101;;;SANTOKU LAGUIOLE HERITAGE MANCHE PAKKAWOOD EN VRAC;50.0;25.0;36.0;18.0;21.5;12.58;0.2516;0.013932
10110024;3661075340872; /;3661075340889;LAG HERITAGE COUTEAUX STEAK BOIS D'OLIVIER 4PCS POLYFLAME;12.0;12.0;29.5;18.0;20.0;2.2;0.18333333333333335;0.010619999999999997
10110025;3661075340896; /;3661075340902;LAG HERITAGE COUTEAUX STEAK NOYER 6PCS POLYFLAME;12.0;12.0;36.5;26.5;18.5;5.7;0.47500000000000003;0.017894124999999997
10110026;3661075340971; /;3661075340988;LAG HERITAGE COUTEAU PLIANT EN BOIS ZEBRA POLYFLAME;100.0;100.0;34.5;31.5;33.0;17.5;0.175;0.03586275
10110027;3661075340995; /;3661075341008;LAG HERITAGE COUTEAU PLIANT ARABESQUE POLYFLAME;100.0;100.0;33.2;30.6;30.0;15.5;0.155;0.030477600000000004
10110028;3661075341015; /;3661075341022;LAG HERIT CTX 11 FONCTIONS BOIS DE ROSE ÉTUI CUIR POLYFLAME;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0
10110029;3661075352523; /;3661075352530;LAG HERITAGE COUTEAUX STEAK ACIDULÉS 6 PCS POLYFLAME;6.0;6.0;29.5;18.0;20.0;2.6;0.43333333333333335;0.010619999999999997
10110030;3661075352547; /;3661075352554;LAG HERITAGE COFFRET 6PCS TOUT INOX POLYFLAME;6.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
10110031;3661075352561; /;3661075352578;LAG HERITAGE COFFRET 6PCS ABS POLYFLAME;6.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
10110032;3661075363031; /;3661075363048;LAG HERITAGE COUTEAUX DE CHEF 5PCS METAL POLYFLAME;6.0;6.0;43.5;26.8;22.5;9.0;1.5;0.026230499999999997
10110033;3661075363055; /;3661075363062;LAG HERITAGE COUTEAUX DE CHEF 3PCS PAKKAWOOD POLYFLAME;6.0;6.0;43.5;18.5;23.0;6.5;1.0833333333333333;0.018509249999999998
10110034;3118220054783;13118220054780;23118220054787;COUTEAU PLIANT MANCHE PAKKAWOOD SS COQUE LAGUIOLE HERITAGE;36.0;6.0;;;;0.0;0.0;0.0
10110035;3118220054806;13118220054803;23118220054800;OFFICE 9 LAGUIOLE HERITAGE MANCHE METAL SATINE EN BTE CARTON;36.0;6.0;;;;0.0;0.0;0.0
10110036;3118220054813;13118220054810;23118220054817;STEAK 12 LAGUIOLE HERITAGE MANCHE METAL SATINE EN BTE CARTON;36.0;6.0;;;;0.0;0.0;0.0
10110037;3118220054820;13118220054827;23118220054824;MULTI USAGE DENT 12 LAG HERITAG MANCHE METAL SATIN BTE CARTO;36.0;6.0;;;;0.0;0.0;0.0
10110038;3118220054837;13118220054834;23118220054831;CUISINE 17 LAGUIOLE HERITAGE MANCHE METAL SATINE BTE CARTON;36.0;6.0;;;;0.0;0.0;0.0
10110039;3118220054844;13118220054841;23118220054848;CHEF 22 LAGUIOLE HERITAGE MANCHE METAL SATINE BTE CARTON;36.0;6.0;;;;0.0;0.0;0.0
10110040;3118220054851;13118220054858;23118220054855;SANTOKU 18 LAGUIOLE HERITAGE MANCHE METAL SATINE BTE CARTON;36.0;6.0;;;;0.0;0.0;0.0
10110041;3661075394592; /;3661075394608;LAG HERITAGE COUTEAU PLIANT DAMAS PAKKAWOOD POLYFLAME;100.0;100.0;33.2;30.6;30.0;;0.0;0.030477600000000004
10110042;3661075394578; /;3661075394585;LAG HERITAGE COUTEAU PLIANT VENITIEN NOIR POLYFLAME;100.0;100.0;33.2;30.6;30.0;;0.0;0.030477600000000004
10110043;3661075394530; /;3661075394547;COFFRET 6 PCS MIF ACCESS NOIR POLYFLAME;6.0;6.0;0.0;0.0;0.0;;0.0;0.0
10120010;3118220017818;;;OFFICE 10CM FORGE MAESTRO IDEAL EN BERLINGOT;6.0;6.0;41.0;13.0;9.0;0.42;0.06999999999999999;0.004797
10120011;3118220017825;;;STEAK 13CM FORGE MAESTRO IDEAL EN BERLINGOT;6.0;6.0;32.0;14.5;8.0;0.59;0.09833333333333333;0.0037119999999999996
10120012;3118220017832;;;DESOSSER 15CM FORGE MAESTRO SOUS GAINE;6.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
10120013;3118220017849;;;FILET DE SOLE 16CM FORGE MAESTRO SOUS GAINE;6.0;6.0;46.0;15.0;12.0;0.86;0.14333333333333334;0.008280000000000001
10120014;3118220017856;;;CUISINE 15CM FORGE MAESTRO SOUS GAINE;6.0;6.0;31.5;19.0;9.5;0.851;0.14183333333333334;0.005685750000000001
10120015;3118220017863;;;CUISINE 30CM FORGE MAESTRO EN BERLINGOT;6.0;6.0;48.0;15.0;11.0;2.74;0.4566666666666667;0.00792
10120016;3118220017870;;;CUISINE 35CM FORGE MAESTRO EN BERLINGOT;6.0;6.0;57.0;17.0;12.0;3.51;0.585;0.011628000000000001
10120018;3118220017894;;;TRANCHELARD 15CM FORGE MAESTRO IDEAL EN BERLINGOT;6.0;6.0;43.5;16.5;11.0;0.99;0.165;0.00789525
10120019;3118220017900;;;TRANCHELARD 20CM FORGE MAESTRO IDEAL EN BERLINGOT;6.0;6.0;43.5;16.5;11.0;0.9;0.15;0.00789525
10120021;3118220017924;;;TRANCHELARD 30CM FORGE MAESTRO EN BERLINGOT;6.0;6.0;48.0;15.0;11.0;1.65;0.27499999999999997;0.00792
10120022;3118220017931;;;JAMBON POINTU 30CM FORGE MAESTRO EN BERLINGOT;6.0;6.0;48.0;15.0;11.0;1.2;0.19999999999999998;0.00792
10120023;3118224467527;;;FILET DE SOLE 17 CM FORGE POM FOURREAU LE COUTEAU DU CHEF;60.0;6.0;40.0;30.0;20.0;6.42;0.107;0.024
10120024;3118220019812;;;CUISINE 20CM FORGE MAESTRO SOUS GAINE;6.0;6.0;43.0;16.5;11.0;1.262;0.21033333333333334;0.0078045
10120025;3118220019829;;;OFFICE 10CM FORGE MAESTRO EN BOITE RETAIL;6.0;6.0;29.0;24.0;9.0;1.679;0.2798333333333333;0.006264
10120026;3118220019836;;;STEAK 13CM FORGE MAESTRO EN BOITE RETAIL;6.0;6.0;29.0;24.0;9.0;1.675;0.2791666666666667;0.006264
10120027;3118220019843;;;DESOSSER 15CM FORGE MAESTRO EN BOITE RETAIL;6.0;6.0;39.0;19.0;11.5;2.022;0.33699999999999997;0.0085215
10120028;3118220019850;;;FILET DE SOLE 16CM FORGE MAESTRO EN BOITE RETAIL;6.0;6.0;39.0;19.0;11.5;2.286;0.381;0.0085215
10120029;3118220019867;;;CUISINE 15CM FORGE MAESTRO EN BOITE RETAIL;6.0;6.0;39.0;19.0;11.5;2.16;0.36000000000000004;0.0085215
10120030;3118220019874;;;CUISINE 20CM FORGE MAESTRO EN BOITE RETAIL;6.0;6.0;39.0;19.0;11.5;2.55;0.425;0.0085215
10120031;3118220019881;;;YATAGAN 22CM FORGE MAESTRO IDEAL EN BOITE RETAIL;6.0;6.0;39.0;19.0;11.0;2.78;0.4633333333333333;0.008150999999999999
10120032;3118220019898;;;TRANCHELARD 15CM FORGE MAESTRO EN BOITE RETAIL;6.0;6.0;39.0;19.0;11.5;1.835;0.30583333333333335;0.0085215
