Référence;EAN 13;EAN 14 SPCB;EAN 14 PCB;Désignation;PCB;SPCB;Longueur PCB (cm);Largeur PCB (cm);Hauteur PCB (cm);Poids PCB (kg);Poids UVC;Volume (m3)
422430;3390509952298;;;COUTEAU STEAK 12 CM BASIC;152.0;4.0;40.0;30.0;20.0;9.272;0.061;0.024
422440;3390509952304;;;COUTEAU F/LEG 14 CM BASIC;90.0;6.0;40.0;30.0;20.0;11.49;0.12766666666666668;0.024
422460;3390509952328;;;COUTEAU VIANDE 21 CM BASIC;60.0;4.0;40.0;30.0;20.0;10.5;0.175;0.024
422480;3390509952342;;;COUTEAU PAIN 20CM BASIC;104.0;4.0;20.0;20.0;30.0;16.64;0.16;0.012
422580;3390509952441;;;COUTEAU OFFICE 9CM CLASSIC;152.0;4.0;40.0;30.0;20.0;12.312;0.081;0.024
422600;3390509952465;;;COUTEAU STEAK 12CM CLASSIC;152.0;4.0;40.0;28.0;20.0;12.464;0.082;0.022400000000000003
422630;3390509952496;;;COUTEAU VIANDE 21 CM CLASSIC;56.0;4.0;40.0;30.0;20.0;14.224;0.254;0.024
422640;3390509945504;;;COUTEAU CUISINE 17CM CLASSIC;60.0;4.0;40.0;30.0;20.0;12.478;0.20796666666666666;0.024
422650;3390509945511;;;COUTEAU PAIN 20CM CLASSIC;108.0;4.0;44.0;30.0;41.0;21.87;0.2025;0.05412
422660;3390509945528;;;COUTEAU OFFICE 10CM INOX;152.0;4.0;40.0;30.0;20.0;15.048;0.099;0.024
422690;3390509945559;;;COUTEAU FRUIT/LEG 15CM INOX;90.0;6.0;40.0;30.0;20.0;15.34;0.17044444444444445;0.024
422700;3390509945566;;;COUTEAU VIANDE 21CM INOX;60.0;4.0;40.0;30.0;20.0;13.98;0.233;0.024
422710;3390509945573;;;COUTEAU CUISINE 18CM INOX;60.0;4.0;40.0;30.0;20.0;11.28;0.188;0.024
422720;3390509945580;;;COUTEAU PAIN 21CM INOX;60.0;6.0;40.0;30.0;20.0;15.47;0.25783333333333336;0.024
422730;3390509945597;;;COUTEAU OFFICE 10CM CHEF;152.0;4.0;45.0;31.5;19.0;12.281;0.08079605263157895;0.026932500000000005
422740;3390509945603;;;COUTEAU STEAK 12.5CM CHEF;152.0;4.0;45.0;31.5;19.0;12.25;0.0805921052631579;0.026932500000000005
422750;3390509945610;;;COUTEAU DESOSSER 15CM CHEF;92.0;4.0;45.0;31.5;19.0;11.78;0.12804347826086956;0.026932500000000005
422760;3390509945627;;;COUTEAU CUISINE 17CM FORGE CHEF;72.0;4.0;40.5;31.5;26.0;14.712;0.20433333333333334;0.0331695
422770;3390509945634;;;COUTEAU SANTUKO CHEF;72.0;4.0;40.0;30.0;20.0;15.328;0.21288888888888888;0.024
422780;3390509945641;;;COUTEAU BOUCHER 21CM CHEF;72.0;4.0;40.5;31.5;26.0;16.057;0.22301388888888887;0.0331695
422790;3390509945658;;;COUTEAU CUISINE 25CM CHEF;92.0;4.0;44.5;32.5;25.0;22.146;0.24071739130434783;0.03615625
422800;3390509945665;;;COUTEAU PAIN 20CM CHEF;72.0;4.0;40.0;30.0;20.0;11.358;0.15775;0.024
422810;3390509945672;;;COUTEAU JAMBON 25CM CHEF;96.0;4.0;44.5;32.5;22.0;15.072;0.157;0.0318175
422820;3390509945689;;;FOURCHETTE DECOUPER CHEF;60.0;4.0;43.0;29.0;29.5;9.78;0.16299999999999998;0.0367865
422830;3390509945696;;;EPLUCHEUR BOIS VRAC CRF;360.0;24.0;40.0;18.5;25.5;6.893;0.01914722222222222;0.01887
422840;3390509945702;;;EPLUCHEUR BOIS COULEUR VRAC;360.0;24.0;40.0;18.5;25.5;7.035;0.019541666666666666;0.01887
422842;5414663364297;;;EPLUCHEUR BOIS COULEUR VRAC CORA;360.0;36.0;24.0;18.5;46.0;7.602;0.02111666666666667;0.020423999999999998
422850;3390509945719;;;OFFICE BOIS VRAC CRF;360.0;12.0;40.0;22.0;31.0;8.28;0.023;0.027280000000000002
422860;3390509945726;;;OFFICE BOIS COULEUR VRAC;360.0;12.0;40.0;22.0;31.0;9.161;0.025447222222222222;0.027280000000000002
422862;5414663364303;;;OFFICE BOIS COULEUR VRAC CORA;360.0;24.0;40.5;23.0;25.5;8.985;0.024958333333333332;0.02375325
422870;3390509945733;;;STEAK BOIS VRAC CRF;360.0;12.0;40.0;25.5;30.0;10.71;0.029750000000000002;0.030600000000000002
422880;3390509945740;;;GRILLADE BOIS VRAC CRF;240.0;12.0;32.0;25.0;36.5;9.48;0.0395;0.0292
422890;3390509945757;;;EPLUCHEUR POLYPRO VRAC;240.0;24.0;40.0;30.0;20.0;6.48;0.027000000000000003;0.024
422920;3390509945788;;;STEAK POLYPRO VRAC;240.0;24.0;40.0;30.0;20.0;7.68;0.032;0.024
422930;3390509945795;;;GRILLADE POLYPRO VRAC;240.0;12.0;40.0;30.0;20.0;8.2;0.034166666666666665;0.024
422940;3390509945801;;;OFFICE COULEUR POLYPRO VRAC;240.0;24.0;40.0;30.0;20.0;6.0;0.025;0.024
422950;3390509945818;;;EPLUCHEUR POLYPRO ERGO COULEUR PANACHE VRAC;240.0;24.0;40.0;30.0;20.0;6.48;0.027000000000000003;0.024
422980;3390509945849;;;PIERRE A AIGUISER;60.0;4.0;36.0;28.5;12.0;11.055;0.18425;0.012311999999999998
422990;3390509945856;;;BARRE MAGNETIQUE;60.0;4.0;40.0;30.0;33.0;16.68;0.27799999999999997;0.039599999999999996
423010;3390509945870;;;FUSIL A AIGUISER MECHE RONDE;48.0;4.0;60.0;42.5;14.0;17.52;0.365;0.0357
423020;3390509945887;;;COUTEAU A HUITRE POLYPRO;54.0;6.0;30.0;20.0;10.0;3.309;0.06127777777777778;0.006
423030;3390509945894;;;COUTEAU A HUITRE BOIS;54.0;6.0;32.0;19.0;9.5;3.645;0.0675;0.005776
424340;3118224243404;13118224243401;23118224243408;M24 TROQUET NOIR POT PET;9.0;9.0;28.0;28.0;24.0;7.73;0.8588888888888889;0.018816000000000003
426300;3118224263006;;;BOUCHER21 FORGE BOIS OLIVIER EN BERLINGOT;72.0;72.0;44.0;28.0;28.5;14.042;0.19502777777777777;0.035112000000000004
426320;3118224263204;;;SANTUKO FORGE FX COUTEAU DU CHEF;72.0;6.0;38.0;30.0;20.0;16.56;0.22999999999999998;0.0228
426330;3222472842071;;;EPLUCHEUR HG OLIVIER CASINO;360.0;6.0;40.0;30.0;20.0;8.41;0.02336111111111111;0.024
426340;3222472842088;;;OFFICE HG MIC.OLIVIER CASINO;360.0;6.0;40.0;30.0;20.0;10.92;0.030333333333333334;0.024
426350;3222472842095;;;STEAK HG OLIVIER CASINO;360.0;6.0;40.0;30.0;20.0;14.5;0.04027777777777778;0.024
426360;3222472842101;;;EPLUCHEUR HG ADFLEX CASINO;360.0;9.0;40.0;30.0;8.23;8.122;0.02256111111111111;0.009876000000000001
426370;3222472842118;;;OFFICE HG TT ADFLEX CASINO;360.0;6.0;40.0;30.0;20.0;9.94;0.02761111111111111;0.024
426380;3222472842125;;;STEAK HG ADFLEX CASINO;360.0;6.0;40.0;30.0;20.0;12.3;0.03416666666666667;0.024
426620;3118224266205;;;TABLE SENSIO / FRX CDF;120.0;6.0;40.0;30.0;20.0;8.01;0.06675;0.024
427480;3118224274804;;;M24 KINGSTONE BORDEAU;6.0;6.0;40.0;30.0;20.0;6.7;1.1166666666666667;0.024
427530;3118224275306;;;LOT 2 OFFICES PRADEL NOIR EN BOX PROMO;144.0;144.0;37.5;32.0;54.5;8.352;0.058;0.0654
427560;3118224275603;13118224275600;23118224275607;CT LAG TABLE METAL+GENCOD;144.0;12.0;27.0;27.0;20.0;7.488;0.052000000000000005;0.014580000000000003
427562;3118224275627;;;CT LAG NACRE CHAMP MI+GENCOD;360.0;12.0;40.0;30.0;20.0;15.37;0.042694444444444445;0.024
427590;3118224275900;;;CAFE LAG METAL 12/10+GENCOD;240.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0
427593;3118224275931;;;CAFE LAG NACRE BLEU MI+GENCOD;120.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0
427620;3118224276204;13118224276201;23118224276208;COUTEAU TABLE ROMANE+GENCOD;144.0;12.0;24.5;23.5;18.0;9.072;0.063;0.010363500000000001
427630;3118224276303;13118224276300;23118224276307;FOURCHETTE TABLE ROMANE+GENCOD;144.0;12.0;25.0;23.5;17.0;6.192;0.043000000000000003;0.0099875
427640;3118224276402;13118224276409;23118224276406;CUILLERE TABLE ROMANE+GENCOD;144.0;12.0;26.0;23.5;17.5;7.2;0.05;0.0106925
427650;3118224276501;13118224276508;23118224276505;CUILLERE CAFE ROMANE+GENCOD;144.0;12.0;22.0;17.0;17.0;3.636;0.02525;0.006358
427930;3118224279304;;;COUTEAU TABLE DIANE+GENCOD;120.0;6.0;27.5;26.0;20.5;10.84;0.09033333333333333;0.0146575
427940;3118224279403;;;FOURCHETTE TABLE DIANE+GENCOD;120.0;6.0;28.0;25.5;21.5;9.12;0.076;0.015351000000000002
427950;3118224279502;;;CUILLERE TABLE DIANE+GENCOD;120.0;6.0;32.5;25.0;21.0;11.444;0.09536666666666667;0.0170625
427960;3118224279601;;;CUILLERE CAFE DIANE+GENCOD;240.0;6.0;44.5;18.0;21.0;13.862;0.057758333333333335;0.016821000000000003
428830;3118224288306;;;COUTEAU TABLE SOHO +GENCOD;120.0;6.0;31.5;19.0;95.0;12.6;0.105;0.0568575
428840;3118224288405;;;FETTE TABLE SOHO +GENCOD;120.0;6.0;31.5;19.0;9.5;6.48;0.054000000000000006;0.005685750000000001
428850;3118224288504;;;CUILLERE TABLE SOHO +GENCOD;120.0;6.0;31.5;19.0;9.5;7.95;0.06625;0.005685750000000001
428860;3118224288603;;;CAFE SOHO +GENCOD;240.0;6.0;31.5;19.0;95.0;5.04;0.021;0.0568575
428920;3118224289204;;;OFFICE POLYPRO FX COUTEAU DU CHEF;150.0;6.0;40.0;30.0;20.0;8.55;0.057;0.024
428935;3118224289358;;;TABLE POLYPRO FX COUTEAU DU CHEF;150.0;6.0;40.0;30.0;20.0;8.99;0.05993333333333333;0.024
428960;3118224289600;;;CHEF POLYPRO FX COUTEAU DU CHEF;60.0;6.0;40.0;30.0;20.0;9.12;0.152;0.024
429640;3118224296400;13118224296407;23118224296404;LOT 3 CTX TROQUET PANACHE ANIS-TURQ-AUBERG-ORANGE EN DISPLAY;96.0;96.0;56.0;39.5;31.0;9.216;0.09599999999999999;0.06857200000000001
429650;3118224296509;13118224296506;23118224296503;LOT 3 FETTES TROQUET PANACHE ANIS-TURQ-AUBERG-ORANGE EN DISP;96.0;96.0;56.0;39.5;31.0;10.08;0.105;0.06857200000000001
429660;3118224296608;13118224296605;23118224296602;LOT 3 CUILL TROQUET PANACHE ANIS-TURQ-AUBERG-ORANGE EN DISPL;96.0;96.0;56.0;39.5;31.0;9.408;0.09799999999999999;0.06857200000000001
429670;3118224296707;13118224296704;23118224296701;LOT 3 CAFES TROQUET PANACHE ANIS-TURQ-AUBERG-ORANGE EN DISPL;96.0;96.0;41.0;22.5;27.0;7.2;0.075;0.0249075
430276;3118224302767;;;6 STEAKS ANIS BLOC INCLINE LOT 1OF 1 EPLU ERGO BLEU;12.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0
430278;3118224302781;;;6 STEAKS SOLEIL BLOC INCLINE LOT 1OF 1 EPLU ERGO BLEU;12.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0
430320;3118224303207;;;CX HUITRE GARDE EN BOURRICHE X120;120.0;120.0;45.5;32.5;26.5;6.64;0.05533333333333333;0.039186875
430370;3118224303702;;;M24 TROQUET ANIS 390C POT PET;9.0;9.0;28.0;28.0;24.0;7.362;0.8180000000000001;0.018816000000000003
430521;3118224305218;13118224305215;23118224305212;COUTEAU AMANDE BLANC+GENCOD;240.0;12.0;35.0;27.5;26.0;12.2;0.05083333333333333;0.025025
430522;3118224305225;13118224305222;23118224305229;COUTEAU AMANDE JAUNE+GENCOD;240.0;12.0;32.5;27.5;26.0;12.658;0.052741666666666666;0.0232375
430523;3118224305232; ?; ?;COUTEAU AMANDE PRUNE+GENCOD;240.0;12.0;32.5;27.5;26.0;12.658;0.052741666666666666;0.0232375
430524;3118224305249;13118224305246;23118224305243;COUTEAU AMANDE ROUGE+GENCOD;240.0;12.0;32.5;27.5;26.0;13.46;0.05608333333333334;0.0232375
430525;3118224305256;13118224305253;23118224305250;COUTEAU AMANDE BLEU+GENCOD;240.0;12.0;37.0;25.0;26.0;11.76;0.049;0.02405
430526;3118224305263;13118224305260;23118224305267;COUTEAU AMANDE ANIS+GENCOD;240.0;12.0;32.5;27.5;26.0;11.76;0.049;0.0232375
430527;3118224305270;13118224305277;23118224305274;COUTEAU AMANDE NOIR+GENCOD;240.0;12.0;26.5;26.5;33.0;11.52;0.048;0.02317425
430528;3118224305287;13118224305284;23118224305281;COUTEAU AMANDE ORANGE+GENCOD;240.0;12.0;32.5;27.5;26.0;12.658;0.052741666666666666;0.0232375
430531;3118224305317;13118224305314;23118224305311;FETTE AMANDE BLANC+GENCOD;240.0;12.0;28.0;24.0;36.5;10.84;0.04516666666666667;0.024528000000000005
430532;3118224305324;13118224305321;23118224305328;FETTE AMANDE JAUNE+GENCOD;240.0;12.0;28.0;24.0;36.5;10.14;0.04225;0.024528000000000005
430533;3118224305331; ?; ?;FTTE AMANDE PRUNE+GENCOD;240.0;12.0;28.0;24.0;36.5;10.14;0.04225;0.024528000000000005
430534;3118224305348;13118224305345;23118224305342;FETTE AMANDE ROUGE+GENCOD;240.0;12.0;28.0;24.0;36.5;10.585;0.04410416666666667;0.024528000000000005
430535;3118224305355;13118224305352;23118224305359;FETTE AMANDE BLEU+GENCOD;240.0;12.0;28.0;24.0;36.5;10.08;0.042;0.024528000000000005
430536;3118224305362;13118224305369;23118224305366;FETTE AMANDE ANIS+GENCOD;240.0;12.0;28.0;24.0;37.5;9.84;0.041;0.025200000000000004
430537;3118224305379;13118224305376;23118224305373;FTTE AMANDE NOIR+GENCOD;240.0;12.0;28.0;24.0;37.5;9.84;0.041;0.025200000000000004
430538;3118224305386;13118224305383;23118224305380;FETTE AMANDE ORANGE+GENCOD;240.0;12.0;28.0;24.0;36.5;10.585;0.04410416666666667;0.024528000000000005
430541;3118224305416;13118224305413;23118224305410;CUIL. AMANDE BLANC+GENCOD;240.0;12.0;37.0;24.5;27.5;11.76;0.049;0.024928749999999996
430542;3118224305423;13118224305420;23118224305427;CUIL. AMANDE JAUNE+GENCOD;240.0;12.0;37.0;24.5;27.5;12.844;0.053516666666666664;0.024928749999999996
430543;3118224305430; ?; ?;CUIL. AMANDE PRUNE+GENCOD;240.0;12.0;37.0;24.5;27.5;12.844;0.053516666666666664;0.024928749999999996
430544;3118224305447;13118224305444;23118224305441;CUIL. AMANDE ROUGE+GENCOD;240.0;12.0;37.0;24.5;27.5;12.04;0.050166666666666665;0.024928749999999996
430545;3118224305454;13118224305451;23118224305458;CUIL. AMANDE BLEU+GENCOD;240.0;12.0;37.0;24.5;27.5;12.04;0.050166666666666665;0.024928749999999996
430546;3118224305461;13118224305468;23118224305465;CUIL. AMANDE ANIS+GENCOD;240.0;12.0;37.0;24.5;27.5;11.76;0.049;0.024928749999999996
430547;3118224305478;13118224305475;23118224305472;CUIL. AMANDE NOIR+GENCOD;240.0;12.0;37.0;24.5;27.5;11.76;0.049;0.024928749999999996
430548;3118224305485;13118224305482;23118224305489;CUILLERE AMANDE ORANGE+GENCOD;240.0;12.0;37.0;24.5;27.5;12.844;0.053516666666666664;0.024928749999999996
430551;3118224305515;13118224305512;23118224305519;CAFE AMANDE BLANC+GENCOD;240.0;12.0;25.0;18.0;30.0;7.088;0.029533333333333335;0.013499999999999998
430552;3118224305522;13118224305529;23118224305526;CAFE AMANDE JAUNE+GENCOD;240.0;12.0;25.0;18.0;30.0;6.9;0.02875;0.013499999999999998
430553;?; ?; ?;CAFE AMANDE PRUNE+GENCOD;240.0;12.0;25.0;18.0;30.0;6.9;0.02875;0.013499999999999998
430554;3118224305546;13118224305543;23118224305540;CAFE AMANDE ROUGE+GENCOD;240.0;12.0;25.0;18.0;30.0;6.24;0.026000000000000002;0.013499999999999998
430555;3118224305553;13118224305550;23118224305557;CAFE AMANDE BLEU+GENCOD;240.0;12.0;25.0;18.0;30.0;7.088;0.029533333333333335;0.013499999999999998
430556;3118224305560;13118224305567;23118224305564;CAFE AMANDE ANIS+GENCOD;240.0;12.0;25.0;18.0;30.0;6.72;0.028;0.013499999999999998
430557;3118224305577;13118224305574;23118224305571;CAFE AMANDE NOIR+GENCOD;240.0;12.0;25.0;18.0;30.0;7.088;0.029533333333333335;0.013499999999999998
