Référence;Description FR;Description ENG;Fournisseur;Date céation;Gamme;Lot/Vrac;Nombre de pièce;EAN 13;EAN 14 SPCB;EAN 14 PCB;Nomenclature;"Epaisseur
(mm)";"Longueur 
(mm)";"Poids 
(g)";"Matière lame/
haut de couvert";Chrome %;Finition;"Matière manche/
produit";"Pantone/Motif manche
N°1";"Pantone/Motif manche
N°2";"Pantone/Motif manche
N°3";"Pantone/Motif manche
N°4";"Pantone/Motif manche
N°5";"Pantone/Motif manche
N°6";Marquage;"Dimensions marquage
(mm)";"Emplacement du
marquage";Artwork;How to pack;Matière Packaging;"Poids Packaging
(g)";"Hauteur Packaging 
(cm)";"Longueur Packaging
(cm)";"Largeur Packaging
(cm)";SPCB;PCB;"Hauteur PCB
(cm)";"Longueur PCB
(cm)";"Largeur PCB
(cm)";"Volume PCB
(cmb)";"Poids PCB
(kg)"
402650;LOT 6 CUILL MOKA CLEO 18% 10/10;CLEO MOKA SPOONS X6;HONGXING;2013-09-23;Cleo;Lot;6.0;3118224026502;13118224026509;23118224026506;82159910000.0;0.8;113;10;18/0;16-18; /;Stainless steel;Steel; /; /; /; /; /;ACIER INOX;2 X 17;Derrière manche;;6 pieces stuck with red tape and sticker on the handle (french description - barcode - Imported by - N° Lot - picto) - then 20 sets of 6 pieces in a white neutral box with sticker (description - barcode- quantity - n° lot written as a barcode) - then 10 white boxes in a master carton ( = 200 sets) with EAN 13 and EAN 14;;;;;;20.0;200.0;22.3;20.0;13.5;0.006021000000000001;0.05303
402660;LOT 6 CUILL MAZAGRAN CLEO;CLEO COKTAIL SPOONS X6;HONGXING;2013-09-23;Cleo;Lot;6.0;3118224026601;13118224026608;23118224026605;82159910000.0;1;185;17;18/0;16-18; /;Stainless steel;Steel; /; /; /; /; /;ACIER INOX;18 X 2;Derrière manche;;6 pieces stuck with red tape and sticker on the handle (french description - barcode - Imported by - N° Lot - picto) - then 10 sets of 6 pieces in a white neutral box with sticker (description - barcode- quantity - n° lot written as a barcode) - then 20 white boxes in a master carton ( = 200 sets) with EAN 13 and EAN 14;;;;;;10.0;200.0;28.0;23.5;22.5;0.014804999999999999;0.097745
402711;COUTEAU DE POCHE NATU /CQUE CDF LAME 9CM;NATURAL WOOD POCKET KNIFE UNDER BLISTER;GUANGWEI;2013-09-23;Poche;Vrac;1.0;3118224027110;13118224027117;23118224027114;82119300000.0;2;200;48;2CR14;13; /;Beech wood;Wood; /; /; /; /; /;ACIER INOX TREMPE TB SINCE 1648 TB COLLECTION LOGO;20 x 7;Côté tranchant;;Each piece under blister with card with holes on blister to avoid humidity - then 6 blisters in a neutral box with stickers (French description - Ean barcode - N° Lot written as a barcode - Quantity) and anti-humidity bag - then 6 boxes in a master carton (=36 pieces). ;;;;;;6.0;36.0;25.5;48.0;31.5;0.038556;0.095
404520;CT OFFICE BOIS RIVET+ SLEEVE;PARING KNIFE NATURAL WOOD HANDLE + SLEEVE;JIT GLOBAL;2013-09-23;Vrac bois;Vrac;1.0;3118224045206;0;0;82119200000.0;0.9;190;21;2CR14;13; /;Wood with FSC 100%;Natural wood; /; /; /; /; /;ACIER INOX TREMPE;13 x 3;Côté tranchant;;;;;;;;12.0;360.0;30.0;40.0;21.5;0.025799999999999997;0.025166666666666667
404530;CT OFFICE BOIS COULEUR RIV + SLV;PARING KNIVES ASSORTED COLOR + SLEEVES;JIT GLOBAL;2013-09-23;Vrac bois;Vrac;1.0;3118224045305;13118224045302;23118224045309;82119200000.0;1;185;22;2CR14;13; /;Hard wood;Violette 676C;Corail 485C;Fougere 7746C;Purple Violet C; /; /;ACIER INOX TREMPE;13 X 3;Côté tranchant;;Each piece with PVC sleeve around the blade with a sticker (see the example below) - then 12 pieces (3 of each colors for the color pieces) in a neutral box with sticker (description - barcode - n° lot written as a barcode - quantity) - then 30 small boxes in a master carton (=360 pieces).;;;;;;12.0;360.0;31.0;39.5;22.5;0.027551250000000006;0.026833333333333334
404537;CT OFFICE BOIS COULEUR RIV + SLV CASINO;WOOD HANDLE PARING KNIFE ASSORTED COLOR + SLEEVE CASINO;JIT GLOBAL;2013-09-30;Vrac bois;Vrac;1.0;3222475201370;0;0;;;;;;;;;;;;;;;;;;;;;;;;;12.0;360.0;32.5;41.0;22.5;0.02998125;0.027000000000000003
404600;EPLU BOIS COULEUR AVEC RIV + SLV;WOOD PEELER 1/2 TANG W/RIVETS ASSORTED COLOURS + SLEEVE;JIT GLOBAL;2013-09-23;Vrac bois;Vrac;1.0;3118224046005;13118224046002;23118224046009;82119200000.0;0.8;150;;2CR14;13; /;Wood Ulmaceae, Zelkova;Violette 676C;Corail 485C;Fougere 7746C;Purple Violet C; /; /;ACIER INOX TREMPE;3 x 13;Sur la lame;;Each piece with PVC sleeve around the blade with a sticker - then 12 pieces (3 pieces of each colors) in a neutral box with sticker (description - barcode - n° lot written as a barcode - quantity) - then 30 small boxes in a master carton (=360 pieces).;;;;;;12.0;360.0;32.5;38.5;18.0;0.0225225;0.021416666666666667
404610;EPLUCHEUR BOIS ECO NATUREL;NATURAL WOOD HANDLE PEELER;JIT GLOBAL;2013-09-30;Vrac bois;Vrac;1.0;3118224046104;13118224046101;23118224046108;82119200000.0;0.8;155;20;2CR14;13; /;Wood;Natural wood; /; /; /; /; /;ACIER INOX TREMPE;2 X 20;Derrière lame;;Each piece with PVC sleeve around the blade with a sticker (see the example below) - then 12 pieces in a neutral box with sticker (description - barcode - n° lot written as a barcode - quantity) - then 30 small boxes in a master carton (=360 pieces).;;;;;;12.0;360.0;20.0;20.0;18.0;0.007200000000000001;0.019333333333333334
406840;LOT 6 CTX STEAK ECO NOIRS;SET OF 6 BLACK ECO STEAK KNIVES;JIT GLOBAL;2013-09-23;Vrac polypro;Lot;6.0;3118224068403;13118224068400;23118224068407;82119100000.0;1;215;30;2CR14;13;Half tang;PP material;Black; /; /; /; /; /;ACIER INOX TREMPE;17 x 1,28;Côté tranchant;;"6 steak knives shrunk together with red tape in plastic with sticker (french description-barcode-imported by- n° lot-picto) - the 
24 sets in a whiter neutral boxes with a sticker (french description-barcode-n°lot written as a barcode-quantity) - then 3 neutral 
boxes in a master carton (=72 pieces).";;;;;;24.0;72.0;33.5;27.0;25.0;0.0226125;0.187
409050;COUTEAU PIZZA MANCHE POLYPRO SOUS SLEEVE + GENCOD;PIZZA KNIFE WITH POLYPRO HANDLE IN SLEEVE + GENCOD;MINGHAO;2013-09-23;Vrac polypro;Vrac;1.0;3118224090503;13118224090500;23118224090507;82119200000.0;1;210;;2CR14;13; /;PP;Black; /; /; /; /; /;ACIER INOX TB COLLECTION;5 X 17;Côté serration;;Each blade under a sleeve with a sticker (french description - EAN 13 - N° Lot - Imported By - Picto) - then 6 pieces in a silk paper together in a neutral white box with sticker (description - EAN 14 - Quantity - N° Lot° - then 50 boxes in a master carton (=300 pieces).;;;;;;6.0;300.0;58.0;50.5;23.0;0.067367;0.04
421310;LOT SCOTCHE 2 STEAKS ECO IMPORT;SET OF 2 STEAK KNIVES;JIT GLOBAL;2013-09-23;Vrac polypro;Lot;2.0;3118224213100;13118224213107;23118224213104;82119100000.0;1;220;30;2CR14;13; /;PP;Black; /; /; /; /; /;ACIER INOX TREMPE;17 x 1,28;Côté serration;;2 knives shrunk together with red tape and sticker (french description - barcode - imported by - n° lot- picto) - then 12 sets in a white box with a sticker (french description - barcode - quantity - n° lot written as a barcode) - then 20 boxes in a master carton (=240 sets).;;;;;;12.0;240.0;24.5;43.0;23.8;0.0250733;0.06191666666666666
421612;LAG EVOLUTION NOIR EN BTE;LAGUIOLE EVOLUTION BLACK COLOUR IN BOX;GUANGWEI;2013-09-23;Poche;Vrac;1.0;3118224216125;0;0;;;;;;;;;;;;;;;;;;;;;;;;;12.0;96.0;23.0;29.0;29.0;0.019343000000000003;0.13999999999999999
422840;EPLUCHEUR BOIS COULEUR VRAC;CRF PEELER BEECH WOOD HDL;JIT GLOBAL;2013-09-23;Vrac bois;Vrac;1.0;3390509945702;0;0;;;;;;;;;;;;;;;;;;;;;;;;;24.0;360.0;25.5;40.0;18.5;0.01887;0.019541666666666666
422842;EPLUCHEUR BOIS COULEUR VRAC CORA;BEECH WOOD HANDLE PEELER ASSORTED COLOR VRAC CORA;JIT GLOBAL;2013-09-23;Vrac bois;Vrac;1.0;5414663364297;0;0;;;;;;;;;;;;;;;;;;;;;;;;;36.0;360.0;46.0;24.0;18.5;0.020423999999999998;0.02111666666666667
422860;OFFICE BOIS COULEUR VRAC;PARING KNIFE BEECH WOOD IN 4COLORS + SLEEVE;JIT GLOBAL;2013-09-23;Vrac bois;Vrac;1.0;3390509945726;0;0;;;;;;;;;;;;;;;;;;;;;;;;;12.0;360.0;31.0;40.0;22.0;0.027280000000000002;0.025447222222222222
422980;PIERRE A AIGUISER;SHARPENING STONE CRF;HIAMEA;2013-09-23;Aiguisage;Vrac;1.0;3390509945849;0;0;68043000000.0;15;240;;35;180 grain size;;Magnesia, Magnesuim Chloride, Bitter Salt, Conventional abrasive – Brown fused Alumina (corundum) 180 #; /; /; /; /; /; /; /; /; /;;;;;;;;4.0;60.0;12.0;36.0;28.5;0.012311999999999998;0.18425
427560;CT LAG TABLE METAL+GENCOD;KNIFE LAGUIOLE METAL BULK + BARCOD;HONGXING;2013-09-23;Laguiole;Vrac;1.0;3118224275603;13118224275600;23118224275607;82119100000.0;1;232;50;2CR14;13; /;Stainless steel/3 rivets/Stainless steel bolsters;Metal; /; /; /; /; /;LAGUIOLE HERITAGE;4,7 x 16;Côté dentelure;;Each piece with pvc film shrunk around the blade with a sticker (French description - barcode - Imported by - Picto - N° Lot) - then 12 pces together with silk paper then in a white neutral box with inner sticker (EAN 14 + Description + N° Lot written as a barcode + Quantity) - then 12 sets in a master carton (=144 pieces) with EAN 13 and EAN 14 and a color sticker;;;;;;12.0;144.0;20.0;27.0;27.0;0.014580000000000003;0.052000000000000005
427620;COUTEAU TABLE ROMANE+GENCOD;ROMANE TABLE KNIFE;WANXIN;2013-09-23;Old;Vrac;1.0;3118224276204;13118224276201;23118224276208;82119100000.0;4;215;60;2CR14;13;Mirror polishing;Stainless steel;Steel; /; /; /; /; /;TB COLLECTION;17 x 1,5;Opposé dentelure;;Each piece with a sticker (french description - barcode - imported by - n° lot - picto) - then 12 pieces, wrapped one by one in a silk paper, put in a neutral white box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 12 sets in a master carton (=144 pieces) with EAN 13 and EAN 14.;;;;;;12.0;144.0;18.0;24.5;23.5;0.010363500000000001;0.063
427630;FOURCHETTE TABLE ROMANE+GENCOD;ROMANE TABLE FORK;WANXIN;2013-09-23;Old;Vrac;1.0;3118224276303;13118224276300;23118224276307;82159910000.0;1.8;205;44;18/0;16-18;Mirror polishing;Stainless steel;Steel; /; /; /; /; /;TB COLLECTION;13,5 X 1,28;Derrière tête;;Each piece with a sticker (french description - barcode - imported by - n° lot - picto) - then 12 pieces, wrapped one by one in a silk paper, put in a neutral white box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 12 sets in a master carton (=144 pieces) with EAN 13 and EAN 14.;;;;;;12.0;144.0;17.0;25.0;23.5;0.0099875;0.043000000000000003
427640;CUILLERE TABLE ROMANE+GENCOD;ROMANE TABLE SPOON;WANXIN;2013-09-23;Old;Vrac;1.0;3118224276402;13118224276409;23118224276406;82159910000.0;1.8;205;49;18/0;16-18;Mirror polishing;Stainless steel;Steel; /; /; /; /; /;TB COLLECTION;13,5 x 1,28;Derrière tête;;Each piece with a sticker (french description - barcode - imported by - n° lot - picto) - then 12 pieces, wrapped one by one in a silk paper, put in a neutral white box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 12 sets in a master carton (=144 pieces) with EAN 13 and EAN 14.;;;;;;12.0;144.0;17.5;26.0;23.5;0.0106925;0.05
427650;CUILLERE CAFE ROMANE+GENCOD;ROMANE TEA SPOON;WANXIN;2013-09-23;Old;Vrac;1.0;3118224276501;13118224276508;23118224276505;82159910000.0;1.6;140;24;18/0;16-18;Mirror polishing;Stainless steel;Steel; /; /; /; /; /;TB COLLECTION;12,5 x 1,02;Derrière tête;;Each piece with a sticker (french description - barcode - imported by - n° lot - picto) - then 12 pieces, wrapped one by one in a silk paper, put in a neutral white box with sticker (description - barcode - quantity - n° lot written as a barcode) - then 12 sets in a master carton (=144 pieces) with EAN 13 and EAN 14.;;;;;;12.0;144.0;17.0;22.0;17.0;0.006358;0.02525
427930;COUTEAU TABLE DIANE+GENCOD;TABLE KNIFE DIANE + BARCOD;WANXIN;2013-09-27;Diane;Vrac;1.0;3118224279304;0;0;82119100000.0;8;227;94;2CR14;13;Sandblast polish;Stainless steel;Steel; /; /; /; /; /;TB COLLECTION;1,28 x 17;Côté dentelure;Non;Boite blanche neutre;Carton;16;4.5;23.5;5;6.0;120.0;20.5;27.5;26.0;0.0146575;0.09033333333333333
427940;FOURCHETTE TABLE DIANE+GENCOD;TABLE FORK DIANE + BARCOD;WANXIN;2013-09-23;Diane;Vrac;1.0;3118224279403;0;0;82159910000.0;5.5;202;72;18/0;16-18;Sandblast polish;Stainless steel;Steel; /; /; /; /; /;TB COLLECTION;1,02 x 13,5;Derrière haut manche;Non;Boite blanche neutre;Carton;5;4.5;23.5;5;6.0;120.0;21.5;28.0;25.5;0.015351000000000002;0.076
427950;CUILLERE TABLE DIANE+GENCOD;TABLE SPOON DIANE + BARCOD;WANXIN;2013-09-27;Diane;Vrac;1.0;3118224279502;0;0;82159910000.0;5.5;205;80;18/0;16-18;Sandblast polish;Stainless steel;Steel; /; /; /; /; /;TB COLLECTION;1,02 x 13,5;Derrière haut manche;Non;Boite blanche neutre;Carton;24;4.5;23.5;5;6.0;120.0;21.0;32.5;25.0;0.0170625;0.09536666666666667
